Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,2.855220,3.039360,2.840420,2.967630,2.967630,4630550
2017-11-10,2.959770,2.993850,2.606440,2.616590,2.616590,3069090
2017-11-11,2.627440,2.714720,2.520320,2.597220,2.597220,3258960
2017-11-12,2.598040,3.109670,2.173080,2.817210,2.817210,9822060
2017-11-13,2.795100,3.254420,2.666150,2.895720,2.895720,9818930
2017-11-14,2.882720,2.909300,2.772910,2.903390,2.903390,2134370
2017-11-15,2.900830,3.205250,2.900830,3.035380,3.035380,5438440
2017-11-16,3.054540,3.116980,2.902580,2.944160,2.944160,3615170
2017-11-17,2.938180,3.013390,2.875960,2.947320,2.947320,1761820
2017-11-18,2.937430,3.058040,2.874600,3.058040,3.058040,1740550
2017-11-19,3.053610,3.098740,2.976460,3.042460,3.042460,1830310
2017-11-20,3.053680,3.075960,2.932500,2.939020,2.939020,2049500
2017-11-21,2.937490,3.029420,2.850620,2.919420,2.919420,1828570
2017-11-22,2.923570,3.895910,2.919720,3.595090,3.595090,21155000
2017-11-23,3.590320,3.636860,3.414900,3.491870,3.491870,4335900
2017-11-24,3.482840,4.501680,3.451240,4.501680,4.501680,12858700
2017-11-25,4.349960,4.783200,4.158190,4.537190,4.537190,23122100
2017-11-26,4.517800,4.641170,4.252190,4.492880,4.492880,8991700
2017-11-27,4.492090,7.721630,4.469480,7.432170,7.432170,55447100
2017-11-28,7.335830,8.169370,5.257540,5.697660,5.697660,65542900
2017-11-29,5.710640,6.391150,5.045160,5.303870,5.303870,25143200
2017-11-30,5.330450,6.632710,5.323410,6.231830,6.231830,19345100
2017-12-01,6.252310,6.438960,5.958470,6.405930,6.405930,8770500
2017-12-02,6.397560,7.021300,6.362690,6.988630,6.988630,12342100
2017-12-03,6.980890,7.450480,6.908210,7.321720,7.321720,17881100
2017-12-04,7.308920,8.743920,7.302800,8.743920,8.743920,20511800
2017-12-05,8.793460,15.806400,8.727240,14.586300,14.586300,86429200
2017-12-06,14.320500,20.233900,13.052100,16.614799,16.614799,109973000
2017-12-07,16.705099,19.857201,13.978100,15.247400,15.247400,49041000
2017-12-08,15.388400,17.926300,14.177900,14.779000,14.779000,32057700
2017-12-09,14.720600,15.782200,10.804400,13.698800,13.698800,45140600
2017-12-10,13.769800,16.210600,11.161000,14.749900,14.749900,38329700
2017-12-11,14.701900,15.610400,14.223500,14.809800,14.809800,19954600
2017-12-12,14.785400,15.471000,13.608500,14.082700,14.082700,20089900
2017-12-13,13.837000,16.009199,13.563100,14.397100,14.397100,25620400
2017-12-14,14.334500,15.042400,14.055700,14.393400,14.393400,15053300
2017-12-15,14.366400,14.763300,14.078300,14.394700,14.394700,9745340
2017-12-16,14.429700,14.685800,13.882900,13.986400,13.986400,15025400
2017-12-17,13.921300,14.441600,13.138200,13.670900,13.670900,15468800
2017-12-18,13.628300,15.770500,13.461700,14.873400,14.873400,22417200
2017-12-19,15.010800,15.565300,13.724200,14.509100,14.509100,20516000
2017-12-20,14.534000,16.963499,13.548200,14.896900,14.896900,30853800
2017-12-21,14.919600,15.349700,13.929400,14.415600,14.415600,14525600
2017-12-22,14.414900,14.459700,8.418200,11.315300,11.315300,24530500
2017-12-23,11.513400,12.585300,10.952100,11.394400,11.394400,10818200
2017-12-24,11.526500,11.526500,9.533050,10.562900,10.562900,9894040
2017-12-25,10.618800,11.942000,10.251700,11.376600,11.376600,11829200
2017-12-26,11.340300,12.126500,11.268500,11.762200,11.762200,9184130
2017-12-27,11.670600,12.049200,11.190600,11.406500,11.406500,8565300
2017-12-28,11.373400,11.541300,10.234300,10.833200,10.833200,6701510
2017-12-29,10.935100,11.354300,10.476600,10.727900,10.727900,11333600
2017-12-30,10.777800,10.777800,9.062950,9.246760,9.246760,10023800
2017-12-31,9.157480,10.443100,8.943700,10.118200,10.118200,13331300
2018-01-01,10.178600,10.207200,9.521940,9.992910,9.992910,7236100
2018-01-02,10.015600,11.134300,9.691970,10.277900,10.277900,15042600
2018-01-03,10.396200,10.636200,9.527870,9.687880,9.687880,12189700
2018-01-04,9.774500,10.036900,9.186090,9.274600,9.274600,15133300
2018-01-05,9.299110,9.360230,7.896800,8.006770,8.006770,11755200
2018-01-06,8.034760,9.257400,7.675750,8.719300,8.719300,11957600
2018-01-07,8.709500,8.898420,8.393800,8.527570,8.527570,7324520
2018-01-08,8.481020,8.823430,7.585520,8.823430,8.823430,9901160
2018-01-09,8.777870,10.105200,8.625280,9.119270,9.119270,18561700
2018-01-10,9.084590,9.280270,7.657050,8.376560,8.376560,10729100
2018-01-11,8.320220,8.527340,7.506670,7.654450,7.654450,7040070
2018-01-12,7.760540,8.205740,7.528620,7.994400,7.994400,5000360
2018-01-13,7.998440,8.141140,7.881130,8.062070,8.062070,4139850
2018-01-14,8.069500,8.113110,7.526870,7.849760,7.849760,4741520
2018-01-15,7.780480,8.862060,7.757540,8.483810,8.483810,11691400
2018-01-16,8.590270,8.619610,5.506090,6.419760,6.419760,11174400
2018-01-17,6.398520,6.572950,4.675440,6.063200,6.063200,9088970
2018-01-18,6.127820,7.078910,6.048280,6.365750,6.365750,5768810
2018-01-19,6.331270,6.474690,6.013750,6.147740,6.147740,3545310
2018-01-20,6.168790,8.752430,6.145430,8.273040,8.273040,39689600
2018-01-21,8.249000,8.249000,6.578310,6.966960,6.966960,9819350
2018-01-22,7.045150,7.108680,6.023530,6.401910,6.401910,5195030
2018-01-23,6.399730,7.115410,5.797780,6.192950,6.192950,7666520
2018-01-24,6.177270,6.380600,6.055960,6.271350,6.271350,3295100
2018-01-25,6.313010,6.458010,6.136910,6.232840,6.232840,2806190
2018-01-26,6.164190,6.379210,5.183930,5.556790,5.556790,7234980
2018-01-27,5.543330,6.316600,5.516100,6.274900,6.274900,4945860
2018-01-28,6.282520,6.399790,5.987060,6.227680,6.227680,3952030
2018-01-29,6.220470,6.310750,5.710590,5.740100,5.740100,3370490
2018-01-30,5.717750,5.763660,4.985870,4.985870,4.985870,4243880
2018-01-31,5.005650,5.086550,4.712200,4.873520,4.873520,5521520
2018-02-01,4.869470,4.997790,3.347170,3.471070,3.471070,6550980
2018-02-02,3.454490,4.662640,2.889460,4.156690,4.156690,10927700
2018-02-03,4.102530,4.698020,3.809790,4.424380,4.424380,5703900
2018-02-04,4.450500,4.499410,3.705220,3.857830,3.857830,2921390
2018-02-05,3.841980,4.024480,3.241570,3.241570,3.241570,2941890
2018-02-06,3.255670,3.891530,3.013620,3.767530,3.767530,5133640
2018-02-07,3.746130,3.918890,3.418100,3.418100,3.418100,3322310
2018-02-08,3.417070,3.913280,3.417070,3.711850,3.711850,3983660
2018-02-09,3.715950,4.115730,3.603760,4.107610,4.107610,3439810
2018-02-10,4.053380,4.521740,3.996320,4.262880,4.262880,7025320
2018-02-11,4.275250,4.275250,3.799730,3.858360,3.858360,3160760
2018-02-12,3.854660,4.447140,3.854660,4.409900,4.409900,6344300
2018-02-13,4.453130,4.477400,4.064350,4.179190,4.179190,3618910
2018-02-14,4.170040,4.750960,4.170040,4.750960,4.750960,4570670
2018-02-15,4.759840,5.203630,4.736630,5.159360,5.159360,8431380
2018-02-16,5.165580,6.911470,5.153800,6.911470,6.911470,21608600
2018-02-17,6.827540,6.847430,6.309190,6.593370,6.593370,15797200
2018-02-18,6.595470,6.595470,5.487520,5.674610,5.674610,9631400
2018-02-19,5.664200,6.417240,5.541980,6.321650,6.321650,7643860
2018-02-20,6.347860,6.421750,5.863690,5.944860,5.944860,4904920
2018-02-21,5.900750,5.987700,5.207530,5.567700,5.567700,5133290
2018-02-22,5.549350,5.845360,5.066260,5.408540,5.408540,5090220
2018-02-23,5.409110,5.785160,5.161780,5.703330,5.703330,4631070
2018-02-24,5.685330,5.790050,5.433560,5.604330,5.604330,3767830
2018-02-25,5.592330,5.605550,5.176520,5.473590,5.473590,3344390
2018-02-26,5.499590,5.699870,5.326440,5.631850,5.631850,3601500
2018-02-27,5.632220,5.729280,5.481480,5.532920,5.532920,3106680
2018-02-28,5.518260,5.756030,5.428250,5.428250,5.428250,2835490
2018-03-01,5.417310,5.530660,5.403010,5.489670,5.489670,2018660
2018-03-02,5.540700,5.560980,5.413740,5.454400,5.454400,2481930
